Name                                       Stmts   Miss  Cover
core/scan_option_specs/profiles.py             5      0   100%
core/scan_option_specs/prompts.py             11      0   100%
core/scan_option_specs/types.py               31      0   100%
modules/__init__.py                           12      0   100%
modules/smart_payload/__init__.py              5      0   100%
modules/sqli_exploit/__init__.py               4      0   100%
utils/__init__.py                              3      0   100%
utils/agent_framework/__init__.py              8      0   100%
utils/agent_framework/_constants.py            7      0   100%
utils/agent_framework/_prompts.py              2      0   100%
utils/ai_exploit_agent/_prompts.py             3      0   100%
utils/ai_exploit_agent/types.py               32      0   100%
utils/attack_mapping.py                       53      0   100%
utils/exploit_finder/__init__.py               5      0   100%
utils/finding/__init__.py                      6      0   100%
utils/finding/registry.py                      2      0   100%
utils/finding/sarif.py                         9      0   100%
utils/finding/types.py                        84      0   100%
--------------------------------------------------------------
TOTAL                                      20970  12318    41%
